Date,STI_Y,SGDUSD,BARCLAY,CRUDEPETROLEUM,DOW,EAFE,SGDEURO,SGDHKD,SGDIDR,SGDJPY,SGDMYR,GOLD_PRICE,NASDAQ,SP500,WILSHIRE5000
8/17/2015,0.539423028,0.689664804,0.943588427,0.31195216,0.135697027,0.421993475,0.383957219,0.256347507,0.884257167,0.780323708,0.880482997,0.10849726,0.148614387,0.175560504,0.219525357
10/6/2015,0.396575492,0.784357542,0.823622701,0.44462147,0.081346931,0.275944095,0.242780749,0.170388498,0.920715153,0.58906156,0.951453918,0.153624604,0.086755051,0.096874317,0.132705905
10/7/2015,0.450708606,0.787011173,0.837035166,0.430278881,0.090136615,0.302211959,0.192869875,0.168094218,0.904883522,0.579928568,0.939666502,0.157145089,0.094464496,0.10709217,0.144771129
10/8/2015,0.438284888,0.722905028,0.842996147,0.462549775,0.100104115,0.319023386,0.260249554,0.224227593,0.880330887,0.596218693,0.923361262,0.150263909,0.098003043,0.118395515,0.156021295
10/9/2015,0.48154935,0.666201117,0.835544748,0.466533858,0.102533,0.322876108,0.272964944,0.268430713,0.888527202,0.623297902,0.900648924,0.168827039,0.101548804,0.119333148,0.157546116
10/12/2015,0.50980112,0.631145251,0.837035166,0.416135397,0.105943002,0.318673211,0.243731432,0.299632915,0.864933566,0.649308639,0.909438147,0.182589203,0.103020772,0.12098365,0.158025975
10/13/2015,0.470100701,0.648044693,0.794562791,0.407370497,0.102345861,0.291704837,0.239572193,0.286479046,0.852621026,0.634727481,0.910505996,0.184029474,0.095448213,0.112140104,0.147722363
10/14/2015,0.469293748,0.648393855,0.790836876,0.406972071,0.091033651,0.295907853,0.222222222,0.288161517,0.87730936,0.623938451,0.927755873,0.206913022,0.092969128,0.106071044,0.140072059
10/15/2015,0.49553654,0.490293296,0.817661807,0.401792829,0.106655006,0.331982211,0.282471777,0.423676965,2.41E-05,0.663141626,0.929850501,0.219395098,0.108688886,0.125093949,0.160309023
10/16/2015,0.508540255,0.502793296,0.826603278,0.419322647,0.111997992,0.330231017,0.343196673,0.412052615,0.880014255,0.665865709,0.917775587,0.212513919,0.111677864,0.131034595,0.165282035
10/19/2015,0.503404334,0.525,0.837780159,0.392031833,0.113046736,0.322876108,0.332144979,0.393545427,0.878955868,0.66474388,0.935354033,0.196031396,0.11506149,0.131387854,0.165625231
10/20/2015,0.498806382,0.566061453,0.827348443,0.385258926,0.112079963,0.31411998,0.322043969,0.355613337,0.878937757,0.654222115,0.96381633,0.203552522,0.110647346,0.129531794,0.163759798
10/21/2015,0.504413026,0.578561453,0.79903344,0.378286855,0.108588554,0.313069615,0.29483066,0.347048027,0.875762331,0.659456319,0.959873501,0.186909818,0.103287418,0.12193414,0.153495795
10/22/2015,0.514844577,0.592807263,0.819896958,0.381872512,0.131664304,0.336885617,0.287225193,0.334505965,2.33E-05,0.654542843,0.964021686,0.185309562,0.117688282,0.14349391,0.172471179
10/23/2015,0.540356068,0.601955307,0.820642124,0.366334605,0.143005196,0.358250234,0.460843731,0.322728663,0.890752642,0.688565224,0.93958436,0.180028833,0.137833005,0.158033971,0.186297402
10/26/2015,0.552636888,0.616620112,0.815426309,0.353984048,0.141302796,0.350194815,0.491740939,0.312633833,0.880367109,0.698232425,0.94681288,0.185949703,0.138344745,0.155484329,0.183331037
10/27/2015,0.526965688,0.584916201,0.809465242,0.338446221,0.138306585,0.331281701,0.488294712,0.33955338,0.880774208,0.700956081,0.947511089,0.18562973,0.137524923,0.152086897,0.177562526
10/28/2015,0.516861961,0.615083799,0.824367867,0.393027849,0.152566639,0.345291091,0.481758764,0.313092689,0.88401289,0.666292724,0.955930672,0.202112253,0.149333216,0.167796021,0.196241334
10/29/2015,0.484079485,0.656494413,0.743148859,0.395418327,0.150859179,0.329530667,0.525490196,0.2751606,0.882248794,0.663195036,0.958641367,0.15426455,0.145474007,0.167192204,0.193930608
10/30/2015,0.481423264,0.660963687,0.725265659,0.405976075,0.144217459,0.324977596,0.475698158,0.275466504,0.875174299,0.666560042,0.932766552,0.145143167,0.141776932,0.160737899,0.188467036
11/2/2015,0.461299867,0.642388268,0.753580575,0.397011913,0.156111337,0.345291091,0.469281046,0.291679413,0.887912048,0.656251811,0.935271891,0.136021785,0.15500133,0.176594567,0.20416681
11/3/2015,0.482440361,0.629399441,0.743148859,0.43207173,0.162546372,0.344590741,0.485799168,0.303303763,0.882131205,0.673449857,0.957409233,0.101456092,0.158240768,0.180280972,0.208164237
11/4/2015,0.516836743,0.614106145,0.731196943,0.40059759,0.158905926,0.332682879,0.535591206,0.315692872,0.877128428,0.692730956,0.942664695,0.089134197,0.157763337,0.17547709,0.203421867
11/5/2015,0.502689844,0.663826816,0.711742461,0.378286855,0.158607148,0.328830038,0.563636364,0.273478128,0.871465174,0.68338443,0.955314605,0.085773697,0.15510769,0.173948496,0.202193744
11/6/2015,0.491611049,0.686662011,0.717728462,0.360159367,0.161983405,0.319023386,0.53392751,0.254206179,0.867276594,0.680339672,0.950591424,0.058889315,0.158599347,0.173479679,0.202116863
11/9/2015,0.480893701,0.789455307,0.72745553,0.351792794,0.149036425,0.296958697,0.560546643,0.168553074,0.862527105,0.68990016,0.956300312,0.059369468,0.149262925,0.160236939,0.188248449
11/11/2015,0.467335205,0.786382682,0.71698018,0.333067716,0.147002066,0.306415015,0.560071301,0.170235546,0.851318362,0.687176504,0.923895186,0.054248531,0.14416778,0.157937699,0.184572937
11/12/2015,0.448354992,0.77122905,0.687798717,0.309561742,0.128706335,0.278746132,0.553416518,0.181553992,0.849282867,0.681301324,0.952850337,0.048007689,0.133008114,0.139293688,0.164526267
11/13/2015,0.420338584,0.765642458,0.683309108,0.289442262,0.114105041,0.261234355,0.52097445,0.185683695,0.845438042,0.676067173,0.965664531,0.048007689,0.119099021,0.124567354,0.15037321
11/16/2015,0.41197485,0.817248603,0.699022177,0.309362579,0.13122155,0.2875021,0.563636364,0.143774855,0.868344081,0.645249247,0.959791359,0.052648275,0.12932186,0.143930583,0.168711898
11/17/2015,0.412857455,0.797486034,0.690043391,0.28804776,0.131688768,0.293105856,0.587759952,0.156775772,0.867765148,0.688191139,0.957203877,0.028644431,0.129574079,0.142164445,0.166564282
11/18/2015,0.387051763,0.811522346,0.706504656,0.289641425,0.149517281,0.312368627,0.608793821,0.14729275,0.860102621,0.688244495,0.958928865,0.028804613,0.145641596,0.163448099,0.187805124
11/19/2015,0.415421213,0.783519553,0.715483701,0.285458179,0.149199803,0.323226402,0.6114082,0.17130621,0.875870908,0.703252721,0.947264662,0.043526893,0.145360521,0.161945219,0.18581619
11/20/2015,0.413807306,0.733379888,0.6698408,0.282470091,0.155755053,0.318322877,0.61010101,0.212909147,0.866172885,0.705335774,0.940241498,0.040966521,0.150996173,0.167038075,0.190532851
11/23/2015,0.401686196,0.731354749,0.657868798,0.309561742,0.153514011,0.305013996,0.673915627,0.214285714,0.862861848,0.704374497,0.934655824,0.025604101,0.150556571,0.165381223,0.19006923
11/24/2015,0.418497722,0.763687151,0.660861842,0.331872477,0.154918476,0.305364012,0.650386215,0.187060263,0.860111632,0.69208998,0.932150485,0.037606023,0.150616041,0.167018789,0.192951333
11/25/2015,0.391674932,0.707402235,0.665351364,0.335258971,0.155004946,0.310267418,0.691622103,0.234169471,0.865069265,0.70213132,0.922375554,0.031524971,0.15301771,0.16684553,0.194346871
11/27/2015,0.364389826,0.695460894,0.671337279,0.308764909,0.155004946,0.310617752,0.730005942,0.241817069,0.868145125,0.711745164,0.925989814,0.008641227,0.155068014,0.167641892,0.195573148
11/30/2015,0.361716793,0.732891061,0.671337279,0.30756975,0.148276194,0.308866399,0.714081996,0.212297339,0.866978072,0.700902724,0.935805816,0.024003844,0.151671808,0.161412117,0.189099426
